"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.FRA.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","France","Annual","Millions","4815.59047","5650.032301","5940.005332","6393.727888","7079.359254"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.ITA.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","Italy","Annual","Millions","6703.268143","8307.827199","9288.059015","9539.305991","8959.651387"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.GBR.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","50279.812747","56266.021534","63952.125944","64285.475555","68084.468332"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.GBR.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","United Kingdom","Annual","Millions","58532.524177","61665.884188","76207.845726","74089.917106","79941.342753"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.USA.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","287075.587944","380011.053521","459928.585076","441333.440223","435114.263308"
"IMF.STA:IMTS(1.0.0)","CAN.MG_CIF_USD.USA.A","OBS_VALUE","Canada","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","209355.822052","251476.215965","295264.877694","292306.290373","290914.704477"
"IMF.STA:IMTS(1.0.0)","CAN.XG_FOB_USD.JPN.A","OBS_VALUE","Canada","Exports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","9191.418473","11400.051226","13823.629093","11667.783915","10918.390103"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.DEU.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","114896.827026","134846.997091","146630.333631","159720.263738","160436.547928"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.JPN.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","Japan","Annual","Millions","10113.228944","12366.402679","13139.833525","15295.24175","15245.328176"
"IMF.STA:IMTS(1.0.0)","CAN.MG_FOB_USD.USA.A","OBS_VALUE","Canada","Imports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","197505.492501","237241.713175","278551.771408","275760.651296","274447.834411"
